rank,symbol,score,status,conf%,pumptime,age,num_triggers,triggers
2,ZBCN/USDT,4,Watch,50,4h+,7,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
3,HBAR/USDT,4,Watch,50,4h+,7,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
4,PENGU/USDT,4,Watch,50,4h+,7,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
5,ETH/USDT,3,Weak,50,1h+,7,3,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+
6,SUI/USDT,3,Weak,50,4h+,7,3,RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
7,TAO/USDT,3,Weak,50,4h+,7,3,RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
8,LINK/USDT,3,Weak,50,4h+,7,3,RSI_5m=60+ RSI_1h=60+ RSI_4h=60+
9,RESOLV/USDT,3,Weak,50,4h+,7,3,RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
10,ENA/USDT,3,Weak,50,1h+,7,3,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+
11,LAUNCHCOIN/USDT,3,Weak,50,4h+,7,3,RSI_5m=60+ RSI_1h=60+ RSI_4h=60+
12,WAXL/USDT,3,Weak,50,4h+,7,3,RSI_5m=60+ RSI_15m=60+ RSI_4h=60+
13,WLD/USDT,3,Weak,50,4h+,7,3,RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
14,ZEC/USDT,3,Weak,50,4h+,7,3,RSI_5m=60+ RSI_15m=60+ RSI_4h=60+
15,KCS/USDT,3,Weak,50,1h+,7,3,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+
16,KAS/USDT,3,Weak,50,4h+,7,3,RSI_5m=60+ RSI_1h=60+ RSI_4h=60+
17,VIRTUAL/USDT,3,Weak,50,4h+,7,3,RSI_5m=60+ RSI_1h=60+ RSI_4h=60+
18,BCH/USDT,3,Weak,50,1h+,7,3,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+
19,MOODENG/USDT,3,Weak,50,4h+,7,3,RSI_5m=60+ RSI_15m=60+ RSI_4h=60+
20,CRV/USDT,3,Weak,50,4h+,7,3,RSI_5m=60+ RSI_15m=60+ RSI_4h=60+
1,USDC/USDT,4,Watch,50,4h+,1,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
2,NEAR/USDT,4,Watch,50,4h+,1,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
3,MOODENG/USDT,4,Watch,50,4h+,1,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
4,JUP/USDT,4,Watch,50,4h+,1,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
5,APT/USDT,4,Watch,50,4h+,1,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
6,EIGEN/USDT,4,Watch,50,4h+,1,4,RSI_5m=60+ RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
7,BTC/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_1h=60+ RSI_4h=60+
8,SOL/USDT,3,Weak,50,4h+,1,3,RSI_15m=60+ RSI_1h=60+ RSI_4h=60+
9,HYPE/USDT,3,Weak,50,4h+,1,3,RSI_5m=60+ RSI_15m=60+ RSI_4h=60+
